Genes	Left-End-Position	Right-End-Position	Direction	Product
rhaM	4093124	4093438	-	L-rhamnose mutarotase
rhaR	4098646	4099494	+	DNA-binding transcriptional activator RhaR
rhaS	4097736	4098572	+	DNA-binding transcriptional activator RhaS
rhaT	4099491	4100525	-	rhamnose/lyxose:H<sup>+</sup> symporter
rhlB	3964365	3965630	-	ATP-dependent RNA helicase RhlB
rhlE	830872	832236	+	ATP-dependent RNA helicase RhlE
rhmD	2360209	2361414	-	L-rhamnonate dehydratase
rho	3966417	3967676	+	transcription termination factor Rho
rhoL	3966231	3966332	+	<i>rho</i> operon leader peptide
rhsA	3762183	3766316	+	rhs element protein RhsA
rhsB	3619192	3623427	+	rhs element protein RhsB
rhsC	729583	733776	+	rhs element protein RhsC
rhsD	523261	527541	+	protein RhsD
rhtA	849210	850097	-	L-threonine/L-homoserine exporter
rhtB	4008439	4009059	-	L-homoserine/L-homoserine lactone/L-threonine exporter
rhtC	4007757	4008377	+	L-threonine exporter
ribA	1338570	1339160	-	GTP cyclohydrolase 2
ribB	3183813	3184466	-	3,4-dihydroxy-2-butanone-4-phosphate synthase
ribC	1742601	1743242	-	riboflavin synthase
ribD	433455	434558	+	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase
ribE	434647	435117	+	6,7-dimethyl-8-ribityllumazine synthase
ribF	21407	22348	+	bifunctional riboflavin kinase / FMN adenylyltransferase
ridA	4470527	4470913	-	enamine/imine deaminase, redox-regulated chaperone
rihA	683477	684412	-	pyrimidine-specific ribonucleoside hydrolase RihA
rihB	2254245	2255186	-	pyrimidine-specific ribonucleoside hydrolase RihB
rihC	27293	28207	+	ribonucleoside hydrolase RihC
rimI	4608185	4608631	+	protein <i>N</i>-acetyltransferase RimI
rimJ	1125562	1126146	+	ribosomal-protein-S5-alanine N-acetyltransferase
rimK	891967	892869	+	ribosomal protein S6 modification protein
rimL	1498938	1499477	+	ribosomal-protein-L12-serine <i>N</i>-acetyltransferase
rimM	2745370	2745918	-	ribosome maturation factor RimM
rimO	876710	878035	-	ribosomal protein S12 methylthiotransferase RimO
rimP	3317554	3318006	-	ribosome maturation factor RimP
rirA	3808166	3808238	-	small regulatory RNA RirA
rlhA	1506781	1508742	+	23S rRNA 5-hydroxycytidine C2501 synthase
rlmA	1906251	1907060	-	23S rRNA m<sup>1</sup>G745 methyltransferase
rlmB	4409275	4410006	+	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase
rlmC	898518	899645	+	23S rRNA m<sup>5</sup>U747 methyltransferase
rlmD	2913699	2915000	-	23S rRNA m<sup>5</sup>U1939 methyltransferase
rlmE	3327035	3327664	-	23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase
rlmF	842332	843258	+	23S rRNA m<sup>6</sup>A1618 methyltransferase
rlmG	3234739	3235875	-	23S rRNA m<sup>2</sup>G1835 methyltransferase
rlmH	668248	668715	-	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
rlmI	1028779	1029969	-	23S rRNA m<sup>5</sup>C1962 methyltransferase
rlmJ	3645385	3646227	+	23S rRNA m<sup>6</sup>A2030 methyltransferase
rlmL	1007844	1009952	+	fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase
rlmM	2940143	2941243	-	23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase
rlmN	2643129	2644283	-	23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase
rlpA	664102	665190	-	rare lipoprotein RlpA
rluA	59687	60346	-	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase
rluB	1326852	1327727	+	23S rRNA pseudouridine<sup>2605</sup> synthase
rluC	1144940	1145899	+	23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase
rluD	2735031	2736011	-	23S rRNA pseudouridine<sup>1911/1915/1917</sup> synthase
rluE	1194298	1194951	-	23S rRNA pseudouridine<sup>2457</sup> synthase
rluF	4230354	4231226	+	23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase
rmf	1015715	1015882	+	ribosome modulation factor
rmuC	4017333	4018760	+	putative recombination limiting protein RmuC
rna	644197	645003	-	RNase I
rnb	1346978	1348912	-	RNase II
rnc	2703383	2704063	-	RNase III
rnd	1886864	1887991	-	RNase D
rne	1141182	1144367	-	ribonuclease E
rng	3396326	3397795	-	RNase G
rnhA	235535	236002	-	ribonuclease HI
rnhB	204493	205089	+	RNase HII
rnk	643557	643967	-	nucleoside diphosphate kinase regulator
rnlA	2765918	2766991	+	CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system
rnlB	2766984	2767355	+	CP4-57 prophage; antitoxin RnlB
rnpA	3884493	3884852	+	RNase P protein component
rnpB	3270216	3270592	-	RNase P catalytic RNA component
rnr	4406654	4409095	+	RNase R
rnt	1728347	1728994	+	RNase T
rob	4634441	4635310	-	DNA-binding transcriptional dual regulator Rob
rodZ	2641831	2642844	-	cytoskeleton protein RodZ
rof	213678	213932	-	modulator of Rho-dependent transcription termination
roxA	1187119	1188240	-	ribosomal protein-arginine oxygenase
rpe	3514382	3515059	-	ribulose-phosphate 3-epimerase
rph	3815863	3816549	-	truncated RNase PH
rpiA	3058666	3059325	-	ribose-5-phosphate isomerase A
rpiB	4313350	4313799	+	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B
rplA	4178879	4179583	+	50S ribosomal subunit protein L1
rplB	3450543	3451364	-	50S ribosomal subunit protein L2
rplC	3452297	3452926	-	50S ribosomal subunit protein L3
rplD	3451681	3452286	-	50S ribosomal subunit protein L4
rplE	3446899	3447438	-	50S ribosomal subunit protein L5
rplF	3445607	3446140	-	50S ribosomal subunit protein L6
rplI	4426108	4426557	+	50S ribosomal subunit protein L9
rplJ	4179996	4180493	+	50S ribosomal subunit protein L10
rplK	4178447	4178875	+	50S ribosomal subunit protein L11
rplL	4180560	4180925	+	50S ribosomal subunit protein L7 // 50S ribosomal subunit protein L12
rplM	3378223	3378651	-	50S ribosomal subunit protein L13
rplN	3447778	3448149	-	50S ribosomal subunit protein L14
rplO	3444105	3444539	-	50S ribosomal subunit protein L15
rplP	3448759	3449169	-	50S ribosomal subunit protein L16
rplQ	3439616	3439999	-	50S ribosomal subunit protein L17
rplR	3445244	3445597	-	50S ribosomal subunit protein L18
rplS	2744183	2744530	-	50S ribosomal subunit protein L19
rplT	1799393	1799749	-	50S ribosomal subunit protein L20
rplU	3333140	3333451	-	50S ribosomal subunit protein L21
rplV	3449901	3450233	-	50S ribosomal subunit protein L22
rplW	3451382	3451684	-	50S ribosomal subunit protein L23
rplX	3447453	3447767	-	50S ribosomal subunit protein L24
rplY	2282517	2282801	+	50S ribosomal subunit protein L25
rpmA	3332862	3333119	-	50S ribosomal subunit protein L27
rpmB	3811438	3811674	-	50S ribosomal subunit protein L28
rpmC	3448568	3448759	-	50S ribosomal subunit protein L29
rpmD	3444543	3444722	-	50S ribosomal subunit protein L30
rpmE	4127013	4127225	+	50S ribosomal subunit protein L31
rpmF	1147367	1147540	+	50S ribosomal subunit protein L32
rpmG	3811250	3811417	-	50S ribosomal subunit protein L33
rpmH	3884336	3884476	+	50S ribosomal subunit protein L34
rpmI	1799802	1799999	-	50S ribosomal subunit protein L35
rpmJ	3442618	3442734	-	50S ribosomal subunit protein L36
rpnA	3543167	3544045	+	recombination-promoting nuclease RpnA
rpnB	2422649	2423539	-	recombination-promoting nuclease RpnB
rpnC	146968	147870	+	recombination-promoting nuclease RpnC
rpnD	4568998	4569918	+	putative inactive recombination-promoting nuclease-like protein RpnD
rpnE	2356904	2357803	+	inactive recombination-promoting nuclease-like protein RpnE
rpoA	3440040	3441029	-	RNA polymerase subunit &alpha;
rpoB	4181245	4185273	+	RNA polymerase subunit &beta;
rpoC	4185350	4189573	+	RNA polymerase subunit &beta;'
rpoD	3213047	3214888	+	RNA polymerase, sigma 70 (sigma D) factor
rpoE	2709437	2710012	-	RNA polymerase sigma E factor
rpoH	3599929	3600783	-	RNA polymerase, sigma 32 (sigma H) factor
rpoN	3344717	3346150	+	RNA polymerase, sigma 54 (sigma N) factor
rpoS	2866559	2867551	-	RNA polymerase, sigma S (sigma 38) factor
rpoZ	3822106	3822381	+	RNA polymerase subunit &omega;
rppH	2968447	2968977	-	RNA pyrophosphohydrolase
rprA	1770372	1770477	+	small regulatory RNA RprA
rpsA	961995	963668	+	30S ribosomal subunit protein S1
rpsB	189874	190599	+	30S ribosomal subunit protein S2
rpsC	3449182	3449883	-	30S ribosomal subunit protein S3
rpsD	3441055	3441675	-	30S ribosomal subunit protein S4
rpsE	3444726	3445229	-	30S ribosomal subunit protein S5
rpsF	4425118	4425513	+	30S ribosomal subunit protein S6
rpsG	3473542	3474081	-	30S ribosomal subunit protein S7
rpsH	3446153	3446545	-	30S ribosomal subunit protein S8
rpsI	3377815	3378207	-	30S ribosomal subunit protein S9
rpsJ	3452959	3453270	-	30S ribosomal subunit protein S10
rpsK	3441709	3442098	-	30S ribosomal subunit protein S11
rpsL	3474178	3474552	-	30S ribosomal subunit protein S12
rpsM	3442115	3442471	-	30S ribosomal subunit protein S13
rpsN	3446579	3446884	-	30S ribosomal subunit protein S14
rpsO	3311415	3311684	-	30S ribosomal subunit protein S15
rpsP	2745937	2746185	-	30S ribosomal subunit protein S16
rpsQ	3448314	3448568	-	30S ribosomal subunit protein S17
rpsR	4425839	4426066	+	30S ribosomal subunit protein S18
rpsS	3450248	3450526	-	30S ribosomal subunit protein S19
rpsT	20815	21078	-	30S ribosomal subunit protein S20
rpsU	3210781	3210996	+	30S ribosomal subunit protein S21
rraA	4118845	4119330	-	ribonuclease E inhibitor protein A
rraB	4478473	4478889	+	ribonuclease E inhibitor protein B
rrfA	4040517	4040636	+	5S ribosomal RNA
rrfB	4171637	4171756	+	5S ribosomal RNA
rrfC	3946700	3946819	+	5S ribosomal RNA
rrfD	3423668	3423787	-	5S ribosomal RNA
rrfE	4213040	4213159	+	5S ribosomal RNA
rrfF	3423423	3423542	-	5S ribosomal RNA
rrfG	2726069	2726188	-	5S ribosomal RNA
rrfH	228756	228875	+	5S ribosomal RNA
rrlA	4037519	4040423	+	23S ribosomal RNA
rrlB	4168641	4171544	+	23S ribosomal RNA
rrlC	3943704	3946607	+	23S ribosomal RNA
rrlD	3423880	3426783	-	23S ribosomal RNA
rrlE	4210043	4212946	+	23S ribosomal RNA
rrlG	2726281	2729184	-	23S ribosomal RNA
rrlH	225759	228662	+	23S ribosomal RNA
rrrD	577613	578110	+	DLP12 prophage; lysozyme
rrrQ	1639524	1640057	-	Qin prophage; putative lysozyme
rrsA	4035531	4037072	+	16S ribosomal RNA
rrsB	4166659	4168200	+	16S ribosomal RNA
rrsC	3941808	3943349	+	16S ribosomal RNA
rrsD	3427221	3428762	-	16S ribosomal RNA
rrsE	4208147	4209688	+	16S ribosomal RNA
rrsG	2729616	2731157	-	16S ribosomal RNA
rrsH	223771	225312	+	16S ribosomal RNA
rsd	4196332	4196808	-	regulator of sigma D
rseA	2708754	2709404	-	anti-sigma-E factor RseA
rseB	2707798	2708754	-	anti-sigma factor stabilizing protein RseB
rseC	2707322	2707801	-	protein RseC
rseD	2710009	2710164	-	<i>rpoE</i> leader peptide
rseP	196546	197898	+	intramembrane zinc metalloprotease RseP
rseX	2033649	2033739	+	small regulatory RNA RseX
rsfS	668719	669036	-	ribosomal silencing factor RsfS
rsgA	4390457	4391509	-	ribosome small subunit-dependent GTPase A
rsmA	51609	52430	-	16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase
rsmB	3435207	3436496	+	16S rRNA m<sup>5</sup>C967 methyltransferase
rsmC	4606669	4607700	-	16S rRNA m<sup>2</sup>G1207 methyltransferase
rsmD	3604393	3604989	+	16S rRNA m<sup>2</sup>G966 methyltransferase
rsmE	3091134	3091865	+	16S rRNA m<sup>3</sup>U1498 methyltransferase
rsmF	1920223	1921662	+	16S rRNA m<sup>5</sup>C1407 methyltransferase
rsmG	3923057	3923680	-	16S rRNA m<sup>7</sup>G527 methyltransferase
rsmH	90094	91035	+	16S rRNA m<sup>4</sup>C1402 methyltransferase
rsmI	3292475	3293335	-	16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase
rsmJ	3642380	3643132	-	16S rRNA m<sup>2</sup>G1516 methyltransferase
rspA	1653927	1655141	-	mandelate racemase/muconate lactonizing enzyme family protein RspA
rspB	1652896	1653915	-	putative zinc-binding dehydrogenase RspB
rssA	1289245	1290150	+	putative patatin-like phospholipase RssA
rssB	1290242	1291255	+	RssB-P // regulator of RpoS
rstA	1682159	1682878	+	Phosphorylated DNA-binding transcriptional regulator RstA // DNA-binding transcriptional regulator RstA
rstB	1682882	1684183	+	sensory histidine kinase RstB - phosphorylated // sensory histidine kinase RstB
rsuA	2279788	2280483	-	16S rRNA pseudouridine<sup>516</sup> synthase
rsxA	1705767	1706348	+	SoxR [2Fe-2S] reducing system protein RsxA
rsxB	1706348	1706926	+	SoxR [2Fe-2S] reducing system protein RsxB
rsxC	1706919	1709141	+	SoxR [2Fe-2S] reducing system protein RsxC
rsxD	1709142	1710200	+	SoxR [2Fe-2S] reducing system protein RsxD
rsxE	1710828	1711523	+	SoxR [2Fe-2S] reducing system protein RsxE
rsxG	1710204	1710824	+	SoxR [2Fe-2S] reducing system protein RsxG
rtcA	3555833	3556849	-	RNA 3'-terminal phosphate cyclase
rtcB	3556853	3558079	-	RNA-splicing ligase
rtcR	3558268	3559866	+	DNA-binding transcriptional activator RtcR
rttR	1287066	1287236	-	small RNA RttR
rusA	573371	573733	+	DLP12 prophage; crossover junction endodeoxyribonuclease RusA
rutA	1072863	1074011	-	pyrimidine monooxygenase RutA
rutB	1072171	1072863	-	peroxyureidoacrylate/ureidoacrylate amidohydrolase
rutC	1071773	1072159	-	putative aminoacrylate peracid reductase RutC
rutD	1070965	1071765	-	putative aminoacrylate hydrolase RutD
rutE	1070365	1070955	-	putative malonic semialdehyde reductase
rutF	1069860	1070354	-	FMN reductase RutF
rutG	1068511	1069839	-	pyrimidine:H<sup>+</sup> symporter
rutR	1074242	1074880	+	DNA-binding transcriptional dual regulator RutR
ruvA	1945365	1945976	-	Holliday junction branch migration complex subunit RuvA
ruvB	1944346	1945356	-	Holliday junction branch migration complex subunit RuvB
ruvC	1946855	1947376	-	crossover junction endodeoxyribonuclease RuvC
rybA	852725	853064	-	small RNA RybA
rybB	887979	888057	-	small regulatory RNA RybB
rydB	1764713	1764780	-	small regulatory RNA RydB
rydC	1491442	1491506	-	small regulatory RNA RydC
ryeA	1923066	1923337	+	small antisense RNA RyeA
ryeG	2470472	2470665	-	small regulatory RNA RyeG
ryfA	2653855	2654158	+	small regulatory RNA RyfA
ryfD	2734153	2734295	-	small regulatory RNA RyfD
ryhB	3580922	3581016	-	small regulatory RNA RyhB
ryjA	4277926	4278066	-	small RNA RyjA
ryjB	4527977	4528066	+	small RNA RyjB
rzoD	578327	578509	+	DLP12 prophage; putative prophage lysis lipoprotein RzoD
rzoQ	1639080	1639334	-	Qin prophage; putative lipoprotein RzoQ
rzoR	1423400	1423585	+	Rac prophage; putative prophage outer membrane lipoprotein RzoR
rzpD	578107	578568	+	DLP12 prophage; putative prophage endopeptidase RzpD
rzpQ	1639030	1639527	-	Qin prophage; DUF2514 domain-containing protein RzpQ
sad	1613315	1614703	-	succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad
safA	1583762	1583959	-	two-component system connector SafA
sanA	2232878	2233597	+	DUF218 domain-containing protein SanA
sapA	1355467	1357110	-	putative periplasmic binding protein SapA
sapB	1354505	1355470	-	putrescine ABC exporter membrane subunit SapB
sapC	1353628	1354518	-	putrescine ABC exporter membrane protein SapC
sapD	1352636	1353628	-	putrescine ABC exporter ATP binding protein SapD
sapF	1351828	1352634	-	putrescine ABC exporter ATP binding protein SapF
satP	9928	10494	-	acetate/succinate:H<sup>+</sup> symporter
sbcB	2082756	2084183	+	exodeoxyribonuclease I
sbcC	412607	415753	-	ATP dependent, structure specific DNA nuclease - SbcC subunit
sbcD	415750	416952	-	ATP dependent, structure specific DNA nuclease - SbcD subunit
sbmA	396639	397859	+	peptide antibiotic/peptide nucleic acid transporter
sbmC	2080789	2081262	-	DNA gyrase inhibitor
sbp	4108834	4109823	+	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp
scpA	3060850	3062994	+	methylmalonyl-CoA mutase
scpB	3063993	3064778	+	methylmalonyl-CoA decarboxylase
scpC	3064802	3066280	+	propionyl-CoA:succinate CoA transferase
sdaA	1896932	1898296	+	L-serine deaminase I
sdaB	2929576	2930943	+	L-serine deaminase II
sdaC	2928229	2929518	+	L-serine:H+ symporter SdaC
sdhA	755907	757673	+	succinate:quinone oxidoreductase, FAD binding protein
sdhB	757689	758405	+	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein
sdhC	755177	755566	+	succinate:quinone oxidoreductase, membrane protein SdhC
sdhD	755560	755907	+	succinate:quinone oxidoreductase, membrane protein SdhD
sdhE	3040804	3041070	-	FAD assembly factor
sdhX	765050	765150	+	small regulatory RNA SdhX
sdiA	1996110	1996832	-	DNA-binding transcriptional dual regulator SdiA
sdsN	1996921	1997057	+	small regulatory RNA SdsN
sdsR	1923104	1923207	-	small regulatory RNA SdsR
secA	108279	110984	+	protein translocation ATPase
secB	3783661	3784128	-	protein export chaperone SecB
secD	427647	429494	+	Sec translocon accessory complex subunit SecD
secE	4177358	4177741	+	Sec translocon subunit SecE
secF	429505	430476	+	Sec translocon accessory complex subunit SecF
secG	3322173	3322505	-	Sec translocon subunit SecG
secM	107705	108217	+	SecA translation regulator
secY	3442766	3444097	-	Sec translocon subunit SecY
selA	3759858	3761249	-	selenocysteine synthase
selB	3758017	3759861	-	selenocysteyl-tRNA-specific translation elongation factor
selC	3836222	3836316	+	tRNA-Sec(UCA)
selD	1846965	1848008	-	selenide, water dikinase
selU	530132	531226	-	tRNA 2-selenouridine synthase
seqA	712987	713532	+	negative modulator of initiation of replication
serA	3057178	3058410	-	phosphoglycerate dehydrogenase
serB	4624895	4625863	+	phosphoserine phosphatase
serC	957653	958741	+	phosphoserine/phosphohydroxythreonine aminotransferase
serS	939428	940720	+	serine&mdash;tRNA ligase
serT	1031625	1031712	-	tRNA-Ser(UGA)
serU	2043468	2043557	-	tRNA-Ser(CGA)
serV	2818553	2818645	-	tRNA-Ser(GCU)
serW	925884	925971	-	tRNA-Ser(GGA)
serX	1097565	1097652	-	tRNA-Ser(GGA)
setA	77621	78799	+	sugar exporter SetA
setB	2263863	2265044	+	sugar exporter SetB
setC	3836953	3838137	+	putative arabinose exporter
sfmA	558212	558754	+	putative fimbrial protein SfmA
sfmC	558974	559666	+	putative fimbrial chaperone SfmC
sfmD	559697	562300	+	putative fimbrial usher protein SfmD
sfmF	563330	563845	+	putative fimbrial protein SfmF
sfmH	562336	563319	+	putative fimbrial adhesin protein SfmH
sfsA	160782	161486	-	putative DNA-binding transcriptional regulator of maltose metabolism
sfsB	3334909	3335187	+	putative transcriptional regulator SfsB
sgbE	3750086	3750781	+	L-ribulose-5-phosphate 4-epimerase SgbE
sgbH	3748577	3749239	+	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
sgbU	3749232	3750092	+	putative L-xylulose 5-phosphate 3-epimerase
sgcA	4527549	4527980	-	putative PTS enzyme IIA component SgcA
sgcB	4530255	4530533	-	putative PTS enzyme IIB component SgcB
sgcC	4528930	4530243	-	putative PTS enzyme IIC component SgcC
sgcE	4526905	4527537	-	KpLE2 phage-like element; putative epimerase SgcE
sgcQ	4528111	4528917	-	KpLE2 phage-like element; putative nucleoside triphosphatase
sgcR	4526106	4526888	-	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR
sgcX	4530530	4531651	-	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain
sgrR	75644	77299	-	DNA-binding transcriptional dual regulator SgrR
sgrS	77367	77593	+	small regulatory RNA SgrS
sgrT	77388	77519	+	PtsG glucose transporter inhibitor
shiA	2053643	2054959	+	shikimate:H+ symporter
shoB	2700117	2700197	-	toxic peptide ShoB
sibA	2153311	2153454	+	small RNA SibA
sibB	2153646	2153781	+	small RNA SibB
sibC	3056851	3056991	+	small regulatory RNA antitoxin SibC
sibD	3194721	3194865	-	small RNA SibD
sibE	3195097	3195240	-	small RNA SibE
sieB	1418671	1419159	+	Rac prophage; phage superinfection exclusion protein
sixA	2456327	2456812	-	phosphohistidine phosphatase SixA
skp	200482	200967	+	periplasmic chaperone Skp
slmA	3814494	3815090	+	nucleoid occlusion factor SlmA
slp	3653961	3654527	+	starvation lipoprotein
slt	4630733	4632670	+	soluble lytic murein transglycosylase
slyA	1720390	1720824	-	DNA-binding transcriptional dual regulator SlyA
slyB	1719876	1720343	+	outer membrane lipoprotein SlyB
slyD	3477907	3478497	-	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD
slyX	3477640	3477858	+	protein SlyX
smf	3432436	3433560	-	protein Smf
smg	3431991	3432464	-	DUF494 domain-containing protein Smg
smpB	2754896	2755378	+	SsrA-binding protein
smrA	1405979	1406542	+	DNA endonuclease SmrA
smrB	2448606	2449157	+	putative endonuclease SmrB
sodA	4100810	4101430	+	superoxide dismutase (Mn)
sodB	1735378	1735959	+	superoxide dismutase (Fe)
sodC	1724134	1724655	-	superoxide dismutase (Cu-Zn)
sohB	1329332	1330381	+	S49 peptidase family protein
sokB	1492119	1492174	+	putative small regulatory RNA antitoxin SokB
sokC	16952	17006	+	small regulatory RNA antitoxin SokC
sokE	607734	607792	+	small RNA SokE
sokX	2887353	2887408	+	small RNA SokX
solA	1119468	1120586	-	N-methyl-L-tryptophan oxidase
soxR	4277469	4277933	+	DNA-binding transcriptional dual regulator SoxR
soxS	4277060	4277383	-	DNA-binding transcriptional dual regulator SoxS
speA	3083935	3085911	-	arginine decarboxylase, biosynthetic
speB	3082877	3083797	-	agmatinase
speC	3107020	3109155	-	constitutive ornithine decarboxylase
speD	134788	135582	-	<i>S</i>-adenosylmethionine decarboxylase proenzyme // &beta; cleavage product of SpeD // &alpha; cleavage product of SpeD
speE	135598	136464	-	spermidine synthase
speF	718262	720460	-	inducible ornithine decarboxylase
speFL	720718	720822	-	leader peptide SpeFL
speG	1656184	1656744	+	spermidine <i>N</i>-acetyltransferase
spf	4049899	4050009	+	small regulatory RNA Spot 42
spoT	3822400	3824508	+	bifunctional (p)ppGpp synthase/hydrolase SpoT
sppA	1848837	1850693	+	protease IV, a signal peptide peptidase
spy	1825140	1825625	-	ATP-independent periplasmic chaperone
sra	1555826	1555963	-	30S ribosomal subunit protein S22
sraA	458728	458784	-	small RNA SraA
sraB	1146589	1146757	+	small RNA SraB
sraG	3311183	3311398	+	small regulatory RNA SraG
srkA	4042415	4043401	+	stress response kinase A
srlA	2825832	2826395	+	sorbitol-specific PTS enzyme IIC<sub>2</sub> component
srlB	2827362	2827733	+	sorbitol-specific PTS enzyme IIA component
srlD	2827737	2828516	+	sorbitol-6-phosphate 2-dehydrogenase
srlE	2826392	2827351	+	sorbitol-specific PTS enzyme IIBC<sub>1</sub> component
srlR	2829047	2829820	+	DNA-binding transcriptional repressor SrlR
srmB	2712896	2714230	+	ATP-dependent RNA helicase SrmB
sroA	75516	75608	-	small RNA SroA
sroC	686681	686843	-	small regulatory RNA SroC
sroE	2640595	2640686	-	small RNA SroE
sroH	4190327	4190487	-	small RNA SroH
ssb	4274125	4274661	+	ssDNA-binding protein
sseA	2652494	2653339	+	3-mercaptopyruvate sulfurtransferase
sseB	2654157	2654933	-	protein SseB
ssnA	3019161	3020489	+	putative aminohydrolase SsnA
sspA	3376782	3377420	-	stringent starvation protein A
sspB	3376279	3376776	-	ClpXP protease specificity-enhancing factor
ssrA	2755593	2755955	+	tmRNA
ssrS	3055983	3056165	+	6S RNA
sstT	3239944	3241188	+	serine/threonine:Na+ symporter
ssuA	995985	996944	-	aliphatic sulfonate ABC transporter periplasmic binding protein
ssuB	993277	994044	-	aliphatic sulfonate ABC transporter ATP binding subunit
ssuC	994041	994832	-	aliphatic sulfonate ABC transporter membrane subunit
ssuD	994843	995988	-	FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase
ssuE	996937	997512	-	NADPH-dependent FMN reductase
stfE	1209119	1209655	-	e14 prophage; putative side tail fiber protein fragment
stfQ	1634885	1635847	-	Qin prophage; putative prophage side tail fiber protein StfQ
stfR	1429049	1432411	+	Rac prophage; putative prophage side tail fiber protein StfR
sthA	4159390	4160790	-	soluble pyridine nucleotide transhydrogenase
stpA	2798091	2798495	-	DNA-binding transcriptional repressor StpA with RNA chaperone activity
sucA	758706	761507	+	subunit of E1(0) component of 2-oxoglutarate dehydrogenase
sucB	761522	762739	+	SucB-dihydrolipoate // SucB-S-succinyldihydrolipoate // SucB-lipoate // dihydrolipoyltranssuccinylase
sucC	763014	764180	+	succinyl-CoA synthetase subunit &beta;
sucD	764180	765049	+	succinyl-CoA synthetase subunit &alpha;
sufA	1764018	1764386	-	iron-sulfur cluster insertion protein SufA
sufB	1762522	1764009	-	Fe-S cluster scaffold complex subunit SufB
sufC	1761766	1762512	-	Fe-S cluster scaffold complex subunit SufC
sufD	1760520	1761791	-	Fe-S cluster scaffold complex subunit SufD
sufE	1758874	1759290	-	sulfur carrier protein SufE
sufS	1759303	1760523	-	L-cysteine desulfurase
suhB	2663442	2664245	+	inositol-phosphate phosphatase
sulA	1020410	1020919	-	cell division inhibitor SulA
surA	53416	54702	-	chaperone SurA
sutR	1506172	1506708	+	DNA-binding transcriptional dual regulator SutR
sxy	1021138	1021767	+	transcriptional coactivator for CRP
syd	2924735	2925280	-	SecY-interacting protein
symE	4579499	4579840	-	toxic protein SymE
symR	4579835	4579911	+	small regulatory RNA antitoxin SymR
tabA	4474862	4475314	+	DUF386 domain-containing toxin-antitoxin biofilm protein TabA
tadA	2697354	2697857	-	tRNA adenosine<sup>34</sup> deaminase
tag	3713092	3713655	+	3-methyl-adenine DNA glycosylase I, constitutive
talA	2578666	2579616	+	transaldolase A
talB	8238	9191	+	transaldolase B
tam	1607346	1608104	+	<i>trans</i>-aconitate 2-methyltransferase
tamA	4442382	4444115	+	translocation and assembly module subunit TamA
tamB	4444112	4447891	+	translocation and assembly module subunit TamB
tap	1969383	1970984	-	methyl-accepting chemotaxis protein Tap
tapT	2719223	2719921	+	tRNA 3-amino-3-carboxypropyltransferase
tar	1971030	1972691	-	methyl-accepting chemotaxis protein Tar
tas	2971597	2972637	+	putative NADP(H)-dependent aldo-keto reductase Tas
tatA	4021945	4022214	+	twin arginine protein translocation system - TatA protein
tatB	4022218	4022733	+	twin arginine protein translocation system - TatB protein
tatC	4022736	4023512	+	twin arginine protein translocation system - TatC protein
tatD	4023554	4024336	+	3' &rarr; 5' ssDNA/RNA  exonuclease TatD
tatE	658947	659150	+	twin arginine protein translocation system - TatE protein
tauA	385232	386194	+	taurine ABC transporter periplasmic binding protein
tauB	386207	386974	+	taurine ABC transporter ATP binding subunit
tauC	386971	387798	+	taurine ABC transporter membrane subunit
tauD	387795	388646	+	taurine dioxygenase
tcdA	2945036	2945842	-	tRNA threonylcarbamoyladenosine dehydratase
tcyJ	1999585	2000385	-	cystine ABC transporter periplasmic binding protein
tcyL	1997811	1998479	-	cystine ABC transporter membrane subunit
tcyN	1997062	1997814	-	cystine ABC transporter ATP binding subunit
tcyP	1810934	1812325	+	cystine/sulfocysteine:cation symporter
tdcA	3266127	3267065	-	DNA-binding transcriptional activator TdcA
tdcB	3265039	3266028	-	catabolic threonine dehydratase
